state_name,date_local,aqi_pm25
Iowa,2021-01-11,33.588235294117652
Louisiana,2021-01-11,27.0
Maine,2021-01-11,23.0
Michigan,2021-01-11,42.5
Montana,2021-01-11,42.5
New York,2021-01-11,49.238095238095234
North Carolina,2021-01-11,28.0
Ohio,2021-01-11,54.375
Oklahoma,2021-01-11,35.25
Oregon,2021-01-11,28.818181818181824
South Carolina,2021-01-11,30.75
Texas,2021-01-11,28.0
Virginia,2021-01-11,22.0
Washington,2021-01-11,22.902439024390244
Puerto Rico,2021-01-11,37.0
Alabama,2021-01-12,45.285714285714285
Alaska,2021-01-12,112.0
Arizona,2021-01-12,31.5
Arkansas,2021-01-12,44.0
California,2021-01-12,48.142857142857132
Colorado,2021-01-12,29.0
Florida,2021-01-12,32.227272727272734
Georgia,2021-01-12,27.2
Idaho,2021-01-12,34.523809523809533
Illinois,2021-01-12,53.166666666666671
Iowa,2021-01-12,40.294117647058826
Louisiana,2021-01-12,42.25
Maine,2021-01-12,24.0
Michigan,2021-01-12,55.0
Montana,2021-01-12,39.0
New York,2021-01-12,55.571428571428569
North Carolina,2021-01-12,29.0
Ohio,2021-01-12,53.374999999999993
Oklahoma,2021-01-12,29.75
Oregon,2021-01-12,14.25
South Carolina,2021-01-12,21.75
Texas,2021-01-12,35.090909090909086
Virginia,2021-01-12,16.0
Washington,2021-01-12,15.860465116279068
Puerto Rico,2021-01-12,30.0
Alabama,2021-01-13,44.222222222222221
Alaska,2021-01-13,53.25
Arizona,2021-01-13,22.562500000000004
Arkansas,2021-01-13,29.5
California,2021-01-13,35.903846153846153
Colorado,2021-01-13,8.4545454545454568
Florida,2021-01-13,32.76
Georgia,2021-01-13,30.857142857142858
Idaho,2021-01-13,21.428571428571431
Illinois,2021-01-13,45.0
Iowa,2021-01-13,38.277777777777786
Louisiana,2021-01-13,39.111111111111114
Maine,2021-01-13,16.4
Michigan,2021-01-13,44.25
Montana,2021-01-13,9.7
New York,2021-01-13,56.45000000000001
North Carolina,2021-01-13,12.0
Ohio,2021-01-13,48.777777777777779
Oklahoma,2021-01-13,28.5
Oregon,2021-01-13,19.727272727272723
South Carolina,2021-01-13,29.666666666666668
Texas,2021-01-13,26.76923076923077
Virginia,2021-01-13,12.666666666666666
Washington,2021-01-13,16.288888888888884
Puerto Rico,2021-01-13,36.0
Connecticut,2021-01-13,35.0
Hawaii,2021-01-13,33.0
Kansas,2021-01-13,14.5
Kentucky,2021-01-13,51.0
Maryland,2021-01-13,28.0
Massachusetts,2021-01-13,18.0
Minnesota,2021-01-13,19.666666666666664
Missouri,2021-01-13,18.0
Nebraska,2021-01-13,10.0
Nevada,2021-01-13,2.0
New Hampshire,2021-01-13,17.0
New Jersey,2021-01-13,55.0
New Mexico,2021-01-13,8.428571428571427
North Dakota,2021-01-13,11.5
Pennsylvania,2021-01-13,56.0
South Dakota,2021-01-13,10.5
Utah,2021-01-13,19.2
Vermont,2021-01-13,23.666666666666668
West Virginia,2021-01-13,15.0
Wisconsin,2021-01-13,36.0
Wyoming,2021-01-13,1.75
Virgin Islands,2021-01-13,13.0
Alabama,2021-01-14,39.571428571428569
Alaska,2021-01-14,115.5
Arizona,2021-01-14,35.25
Arkansas,2021-01-14,25.75
California,2021-01-14,41.242424242424256
Colorado,2021-01-14,18.0
Florida,2021-01-14,33.63636363636364
Georgia,2021-01-14,35.6
Idaho,2021-01-14,33.4
Illinois,2021-01-14,45.714285714285715
Iowa,2021-01-14,30.812500000000004
Louisiana,2021-01-14,29.874999999999996
Maine,2021-01-14,23.0
Michigan,2021-01-14,47.0
Montana,2021-01-14,33.333333333333329
New York,2021-01-14,60.89473684210526
North Carolina,2021-01-14,37.0
Ohio,2021-01-14,40.625
Oklahoma,2021-01-14,16.25
Oregon,2021-01-14,34.181818181818194
South Carolina,2021-01-14,30.0
Texas,2021-01-14,31.166666666666668
Virginia,2021-01-14,16.0
Washington,2021-01-14,25.047619047619044
Puerto Rico,2021-01-14,28.0
Alabama,2021-01-15,28.714285714285715
Alaska,2021-01-15,27.5
Arizona,2021-01-15,36.75
Arkansas,2021-01-15,20.25
California,2021-01-15,42.0294117647059
Colorado,2021-01-15,15.0
Florida,2021-01-15,30.391304347826086
Georgia,2021-01-15,17.4
Idaho,2021-01-15,47.857142857142868
Illinois,2021-01-15,28.142857142857142
Iowa,2021-01-15,17.4375
Louisiana,2021-01-15,16.857142857142858
Maine,2021-01-15,31.0
Michigan,2021-01-15,38.0
Montana,2021-01-15,42.0
New York,2021-01-15,51.9
North Carolina,2021-01-15,34.0
Ohio,2021-01-15,26.125
Oklahoma,2021-01-15,8.0
Oregon,2021-01-15,38.088888888888874
South Carolina,2021-01-15,31.8
Texas,2021-01-15,25.09090909090909
Virginia,2021-01-15,23.0
Washington,2021-01-15,30.139534883720934
Puerto Rico,2021-01-15,31.0
Alabama,2021-01-16,27.666666666666671
Alaska,2021-01-16,27.285714285714292
Arizona,2021-01-16,19.625
Arkansas,2021-01-16,19.833333333333332
California,2021-01-16,33.980392156862735
Colorado,2021-01-16,3.3636363636363629
Florida,2021-01-16,26.444444444444436
Georgia,2021-01-16,17.428571428571427
Idaho,2021-01-16,43.590909090909093
Illinois,2021-01-16,31.624999999999996
Iowa,2021-01-16,20.388888888888886
Louisiana,2021-01-16,37.0
Maine,2021-01-16,14.4
Michigan,2021-01-16,21.0
Montana,2021-01-16,14.357142857142856
New York,2021-01-16,22.952380952380956
North Carolina,2021-01-16,13.25
Ohio,2021-01-16,24.799999999999997
Oklahoma,2021-01-16,13.4
Oregon,2021-01-16,33.060000000000016
South Carolina,2021-01-16,17.166666666666668
Texas,2021-01-16,43.8125
Virginia,2021-01-16,9.3333333333333339
Washington,2021-01-16,31.57407407407408
Puerto Rico,2021-01-16,38.0
Country Of Mexico,2021-01-16,0.0
Connecticut,2021-01-16,3.0
Hawaii,2021-01-16,7.5
Kansas,2021-01-16,5.0
Kentucky,2021-01-16,13.0
Maryland,2021-01-16,10.0
Massachusetts,2021-01-16,30.0
Minnesota,2021-01-16,4.0
Missouri,2021-01-16,7.0
Nebraska,2021-01-16,3.0
Nevada,2021-01-16,2.0
New Hampshire,2021-01-16,3.0
New Jersey,2021-01-16,25.0
New Mexico,2021-01-16,5.0
North Dakota,2021-01-16,7.0
Pennsylvania,2021-01-16,36.0
South Dakota,2021-01-16,2.5
Utah,2021-01-16,10.0
Vermont,2021-01-16,1.6666666666666667
West Virginia,2021-01-16,8.0
Wisconsin,2021-01-16,4.0
Wyoming,2021-01-16,1.75
Virgin Islands,2021-01-16,10.0
Alabama,2021-01-17,32.428571428571431
Alaska,2021-01-17,80.0
Arizona,2021-01-17,31.0
Arkansas,2021-01-17,30.0
California,2021-01-17,38.666666666666664
Colorado,2021-01-17,15.0
Florida,2021-01-17,38.173913043478265
Georgia,2021-01-17,30.8
Idaho,2021-01-17,45.8
Illinois,2021-01-17,31.714285714285712
Iowa,2021-01-17,23.875000000000004
Louisiana,2021-01-17,59.428571428571431
Maine,2021-01-17,9.0
Michigan,2021-01-17,27.0
Montana,2021-01-17,37.75
New York,2021-01-17,34.333333333333329
North Carolina,2021-01-17,18.0
Ohio,2021-01-17,20.125000000000004
Oklahoma,2021-01-17,8.0
Oregon,2021-01-17,37.577777777777769
South Carolina,2021-01-17,19.6
Texas,2021-01-17,48.083333333333336
Virginia,2021-01-17,15.0
Washington,2021-01-17,37.068181818181806
Puerto Rico,2021-01-17,34.0
